ok  	github.com/openshift/origin/pkg/oauth/api/validation	0.024s
ok  	github.com/openshift/origin/pkg/oauth/scope	0.025s
ok  	github.com/openshift/origin/pkg/oauth/server/osinserver	0.050s
ok  	github.com/openshift/origin/pkg/oauth/server/osinserver/registrystorage	0.047s
ok  	github.com/openshift/origin/pkg/project/admission/lifecycle	0.116s
ok  	github.com/openshift/origin/pkg/project/admission/nodeenv	0.076s
ok  	github.com/openshift/origin/pkg/project/admission/requestlimit	0.070s
ok  	github.com/openshift/origin/pkg/project/admission/requestlimit/api/validation	0.040s
ok  	github.com/openshift/origin/pkg/project/api/v1	0.031s
ok  	github.com/openshift/origin/pkg/project/api/validation	0.061s
ok  	github.com/openshift/origin/pkg/project/auth	0.133s
ok  	github.com/openshift/origin/pkg/project/controller	0.130s
ok  	github.com/openshift/origin/pkg/project/registry/project	0.010s
ok  	github.com/openshift/origin/pkg/project/registry/project/proxy	0.045s
ok  	github.com/openshift/origin/pkg/project/registry/projectrequest/delegated	0.046s
ok  	github.com/openshift/origin/pkg/quota/admission/clusterresourceoverride	0.065s
ok  	github.com/openshift/origin/pkg/quota/admission/runonceduration	0.056s
ok  	github.com/openshift/origin/pkg/quota/admission/runonceduration/api/validation	0.033s
ok  	github.com/openshift/origin/pkg/route/api/v1	0.058s
ok  	github.com/openshift/origin/pkg/route/api/validation	0.019s
ok  	github.com/openshift/origin/pkg/route/controller/allocation	0.113s
ok  	github.com/openshift/origin/pkg/route/generator	0.052s
ok  	github.com/openshift/origin/pkg/route/graph/analysis	0.050s
ok  	github.com/openshift/origin/pkg/router/controller	0.033s
ok  	github.com/openshift/origin/pkg/route/registry/route/etcd	5.013s
ok  	github.com/openshift/origin/pkg/sdn/api/v1	0.071s
ok  	github.com/openshift/origin/pkg/sdn/api/validation	0.070s
ok  	github.com/openshift/origin/pkg/security/admission	0.054s
ok  	github.com/openshift/origin/pkg/security/controller	0.083s
ok  	github.com/openshift/origin/pkg/security/mcs	0.029s
ok  	github.com/openshift/origin/pkg/security/mcsallocator	0.026s
ok  	github.com/openshift/origin/pkg/security/uid	0.005s
ok  	github.com/openshift/origin/pkg/security/uidallocator	0.028s
ok  	github.com/openshift/origin/pkg/service	0.014s
ok  	github.com/openshift/origin/pkg/serviceaccounts/controllers	0.035s
ok  	github.com/openshift/origin/pkg/template	0.041s
ok  	github.com/openshift/origin/pkg/template/api/v1	0.041s
ok  	github.com/openshift/origin/pkg/template/api/validation	0.021s
ok  	github.com/openshift/origin/pkg/template/generator	0.005s
ok  	github.com/openshift/origin/pkg/template/generator/examples	0.146s
ok  	github.com/openshift/origin/pkg/template/registry	0.047s
ok  	github.com/openshift/origin/pkg/template/registry/etcd	4.322s
ok  	github.com/openshift/origin/pkg/user	0.032s
ok  	github.com/openshift/origin/pkg/user/api/v1	0.120s
ok  	github.com/openshift/origin/pkg/user/api/validation	0.016s
ok  	github.com/openshift/origin/pkg/user/reaper	0.046s
